date,is_negative,mean,rolling_average_7,rolling_average_14
2020-03-11,0.44680851063829785,0.41424850461246426,,
2020-03-12,0.4669603524229075,0.41424850461246426,,
2020-03-13,0.4,0.41424850461246426,,
2020-03-14,0.37222222222222223,0.41424850461246426,,
2020-03-15,0.38308457711442784,0.41424850461246426,,
2020-03-16,0.4186046511627907,0.41424850461246426,,
2020-03-17,0.47393364928909953,0.41424850461246426,0.4081259242081854,
2020-03-18,0.436241610738255,0.41424850461246426,0.409743011897007,
2020-03-19,0.3722627737226277,0.41424850461246426,0.4146664827190829,
2020-03-20,0.3716216216216216,0.41424850461246426,0.41967574552359316,
2020-03-21,0.4028776978417266,0.41424850461246426,0.4156231582820738,
2020-03-22,0.4233576642335766,0.41424850461246426,0.4067641126017601,
2020-03-23,0.39,0.41424850461246426,0.3996900062757695,
2020-03-24,0.41818181818181815,0.41424850461246426,0.39846235158111437,0.41125035704514307
2020-03-25,0.312,0.41424850461246426,0.3959958377368121,0.4070889665976078
2020-03-26,0.44166666666666665,0.41424850461246426,0.3954788832011203,0.4034421349338083
2020-03-27,0.4016393442622951,0.41424850461246426,0.39458081103948633,0.40206568666453313
2020-03-28,0.31,0.41424850461246426,0.3840113629564763,0.40002457439074585
2020-03-29,0.38181818181818183,0.41424850461246426,0.38348540735221065,0.3958880973925119
2020-03-30,0.425531914893617,0.41424850461246426,0.3808067171100612,0.391571253011848
2020-03-31,0.3829787234042553,0.41424850461246426,0.37623427904789086,0.3881185443698178
2020-04-01,0.41414141414141414,0.41424850461246426,0.3849320430059225,0.38718554757686346
2020-04-02,0.45794392523364486,0.41424850461246426,0.39402402956378424,0.38802047313597626
2020-04-03,0.5274725274725275,0.41424850461246426,0.4104957263936435,0.38929099896235947
2020-04-04,0.4270833333333333,0.41424850461246426,0.43089025014769755,0.393681693071851
2020-04-05,0.43820224719101125,0.41424850461246426,0.4462797375835131,0.401214066558519
2020-04-06,0.49557522123893805,0.41424850461246426,0.459263322056193,0.4100978169762066
2020-04-07,0.47435897435897434,0.41424850461246426,0.46255602117309397,0.4206253912427104
2020-04-08,0.38202247191011235,0.41424850461246426,0.46027587833047623,0.4310746286659445
2020-04-09,0.4084507042253521,0.41424850461246426,0.45463246198690505,0.43948273511011743
2020-04-10,0.4444444444444444,0.41424850461246426,0.44344141609334703,0.4450884768010906
2020-04-11,0.5052631578947369,0.41424850461246426,0.4375014787403714,0.4481660065021633
2020-04-12,0.4766355140186916,0.41424850461246426,0.44029116035813315,0.4506633902102045
2020-04-13,0.5222222222222223,0.41424850461246426,0.45205103328605306,0.45253478306205
2020-04-14,0.3870967741935484,0.41424850461246426,0.46342235037294777,0.45214047431713844
2020-04-15,0.4606741573033708,0.41424850461246426,0.47007534345189694,0.451053595944721
2020-04-16,0.38202247191011235,0.41424850461246426,0.4649017062672738,0.4513323871265649
2020-04-17,0.32894736842105265,0.41424850461246426,0.44053767084527307,0.45151521908083486
2020-04-18,0.34615384615384615,0.41424850461246426,0.417198931811472,0.44894541706268015
2020-04-19,0.4931506849315068,0.41424850461246426,0.3986767882913899,0.44373064328720746
2020-04-20,0.4032258064516129,0.41424850461246426,0.38739316831193765,0.4368060581579721
2020-04-21,0.3770491803278688,0.41424850461246426,0.3911955899392346,0.4291832198608371
2020-04-22,0.3924050632911392,0.41424850461246426,0.4004476456400936,0.42084909408303145
2020-04-23,0.4189189189189189,0.41424850461246426,0.40303043298840757,0.41166194687582314
2020-04-24,0.3235294117647059,0.41424850461246426,0.3993069872599459,0.4042442261858709
2020-04-25,0.36,0.41424850461246426,0.3915116045168166,0.39971461350565446
2020-04-26,0.35064935064935066,0.41424850461246426,0.3782157886624945,0.3953272351151527
2020-04-27,0.3176470588235294,0.41424850461246426,0.36322996692799736,0.3896582359384017
2020-04-28,0.47761194029850745,0.41424850461246426,0.3628553278947946,0.38545891045531244
2020-04-29,0.423728813559322,0.41424850461246426,0.36752931347954115,0.3834045155652509
2020-04-30,0.391304347826087,0.41424850461246426,0.3773539684279455,0.3817080984933402
2020-05-01,0.43037974683544306,0.41424850461246426,0.40055390763305637,0.3804990005400565
2020-05-02,0.328,0.41424850461246426,0.40477294253614793,0.37996767950392524
2020-05-03,0.5321100917431193,0.41424850461246426,0.4117827564782691,0.3822742760344241
2020-05-04,0.45714285714285713,0.41424850461246426,0.4203665399291425,0.39018328706822236
2020-05-05,0.37662337662337664,0.41424850461246426,0.41854475724101714,0.3983323309826497
2020-05-06,0.5925925925925926,0.41424850461246426,0.44261075785858545,0.40582819841870277
2020-05-07,0.2698412698412698,0.41424850461246426,0.4435111272208009,0.4137698977106038
