date,sentiment,mean,signed_squared_deviation
2020-03-11,0.06739255319148935,0.11023378801671788,
2020-03-12,0.04516519823788555,0.11023378801671788,
2020-03-13,0.14577999999999997,0.11023378801671788,
2020-03-14,0.15294944444444453,0.11023378801671788,
2020-03-15,0.11011442786069642,0.11023378801671788,
2020-03-16,0.08910406976744183,0.11023378801671788,
2020-03-17,0.06212322274881513,0.11023378801671788,
2020-03-18,0.11926912751677848,0.11023378801671788,
2020-03-19,0.15652846715328467,0.11023378801671788,
2020-03-20,0.1943331081081082,0.11023378801671788,
2020-03-21,0.12960287769784173,0.11023378801671788,
2020-03-22,0.1334408759124088,0.11023378801671788,
2020-03-23,0.11770799999999997,0.11023378801671788,
2020-03-24,0.09114545454545454,0.11023378801671788,0.0006424944293204149
2020-03-25,0.20988640000000008,0.11023378801671788,0.0010427188526689584
2020-03-26,0.06402583333333331,0.11023378801671788,0.00141515251958316
2020-03-27,0.13481393442622952,0.11023378801671788,0.0015535742928204448
2020-03-28,0.1868519999999999,0.11023378801671788,0.0016375774940742716
2020-03-29,0.15358545454545458,0.11023378801671788,0.0018006303823504567
2020-03-30,0.06980851063829788,0.11023378801671788,0.001949497751777839
2020-03-31,0.13833085106382983,0.11023378801671788,0.002067866668929083
2020-04-01,0.10023636363636361,0.11023378801671788,0.001975255485328856
2020-04-02,0.10700841121495329,0.11023378801671788,0.0017451294765076799
2020-04-03,0.03150109890109888,0.11023378801671788,0.0015769283301591483
2020-04-04,0.09581875,0.11023378801671788,0.0012872186083866682
2020-04-05,0.06773932584269664,0.11023378801671788,0.0008281285103950362
2020-04-06,0.02619115044247786,0.11023378801671788,0.0002796012761593407
2020-04-07,0.002129487179487167,0.11023378801671788,-0.0004461574807435284
2020-04-08,0.1463460674157303,0.11023378801671788,-0.0011943158034729143
2020-04-09,0.1408774647887324,0.11023378801671788,-0.0018377873634668163
2020-04-10,0.10653703703703704,0.11023378801671788,-0.0023607195738528266
2020-04-11,0.013844210526315766,0.11023378801671788,-0.002781782634226139
2020-04-12,0.04565420560747665,0.11023378801671788,-0.003220035597065071
2020-04-13,-0.036814444444444434,0.11023378801671788,-0.003737989097685826
2020-04-14,0.16251612903225807,0.11023378801671788,-0.004074667986135688
2020-04-15,0.048974157303370736,0.11023378801671788,-0.004202825613801977
2020-04-16,0.10491348314606742,0.11023378801671788,-0.004416469597058128
2020-04-17,0.23304473684210522,0.11023378801671788,-0.004558743721130798
2020-04-18,0.16239487179487183,0.11023378801671788,-0.004394835075927227
2020-04-19,0.015980821917808214,0.11023378801671788,-0.004039635301827259
2020-04-20,0.1578854838709678,0.11023378801671788,-0.003316011767302215
2020-04-21,0.13092950819672128,0.11023378801671788,-0.0023706660783140397
2020-04-22,0.1240759493670886,0.11023378801671788,-0.0015041359661151967
2020-04-23,0.16315945945945948,0.11023378801671788,-0.000507014427629421
2020-04-24,0.18177058823529424,0.11023378801671788,0.00027312305398420183
2020-04-25,0.1536853333333334,0.11023378801671788,0.0006664678655439816
2020-04-26,0.14092337662337664,0.11023378801671788,0.0010770994163015054
2020-04-27,0.21181294117647056,0.11023378801671788,0.00147438754943359
2020-04-28,0.09876865671641792,0.11023378801671788,0.0017277893736873352
2020-04-29,0.10009491525423721,0.11023378801671788,0.001955748527747869
2020-04-30,0.16265942028985508,0.11023378801671788,0.0021110458238723074
2020-05-01,0.059624050632911416,0.11023378801671788,0.002260261935734506
2020-05-02,0.16045599999999996,0.11023378801671788,0.002447775310034567
2020-05-03,-0.02031192660550458,0.11023378801671788,0.0023664873448881055
2020-05-04,0.031152857142857142,0.11023378801671788,0.001750206878254334
2020-05-05,0.08631688311688308,0.11023378801671788,0.0008839206436802773
2020-05-06,-0.003220740740740797,0.11023378801671788,-0.00010844251148247498
2020-05-07,0.3069238095238095,0.11023378801671788,-0.0008608417254543198
