date,sentiment,rolling_average_14,mean,signed_squared_deviation
2020-03-11,0.06739255319148935,,0.11023378801671788,-0.0018353714013503739
2020-03-12,0.04516519823788555,,0.11023378801671788,-0.004233921375805963
2020-03-13,0.14577999999999997,,0.11023378801671788,0.0012635331863604272
2020-03-14,0.15294944444444453,,0.11023378801671788,0.001824627304051585
2020-03-15,0.11011442786069642,,0.11023378801671788,-1.4246846845466928e-08
2020-03-16,0.08910406976744183,,0.11023378801671788,-0.00044646499329378933
2020-03-17,0.06212322274881513,,0.11023378801671788,-0.00231462649039713
2020-03-18,0.11926912751677848,,0.11023378801671788,8.163735988135546e-05
2020-03-19,0.15652846715328467,,0.11023378801671788,0.0021431973163576726
2020-03-20,0.1943331081081082,,0.11023378801671788,0.007072695639834127
2020-03-21,0.12960287769784173,,0.11023378801671788,0.0003751616350754187
2020-03-22,0.1334408759124088,,0.11023378801671788,0.0005385689285983242
2020-03-23,0.11770799999999997,,0.11023378801671788,5.586384477103758e-05
2020-03-24,0.09114545454545454,0.12062463796233266,0.11023378801671788,-0.0003643644747101521
2020-03-25,0.20988640000000008,0.12651788987584425,0.11023378801671788,0.0099306430750906
2020-03-26,0.06402583333333331,0.13072619072223937,0.11023378801671788,-0.002135175076021722
2020-03-27,0.13481393442622952,0.13175144886939635,0.11023378801671788,0.0006041835975130282
2020-03-28,0.1868519999999999,0.13249633362123472,0.11023378801671788,0.005870350407515142
2020-03-29,0.15358545454545458,0.13403115530807402,0.11023378801671788,0.0018793669908187902
2020-03-30,0.06980851063829788,0.1347528618009039,0.11023378801671788,-0.0016342030511221958
2020-03-31,0.13833085106382983,0.13487925957054472,0.11023378801671788,0.0007894449518733843
2020-04-01,0.10023636363636361,0.1331474517878884,0.11023378801671788,-9.99484942409019e-05
2020-04-02,0.10700841121495329,0.13075460219762708,0.11023378801671788,-1.0403055513361157e-05
2020-04-03,0.03150109890109888,0.12929738066714458,0.11023378801671788,-0.00619883633537671
2020-04-04,0.09581875,0.125880199604566,0.11023378801671788,-0.0002077933210234218
2020-04-05,0.06773932584269664,0.11986839528037561,0.11023378801671788,-0.0018057793154593218
2020-04-06,0.02619115044247786,0.11281874832179824,0.11023378801671788,-0.007063164930435061
2020-04-07,0.002129487179487167,0.103941503085294,0.11023378801671788,-0.011686539859506481
2020-04-08,0.1463460674157303,0.09478234947879262,0.11023378801671788,0.0013040967233923376
2020-04-09,0.1408774647887324,0.08711958582979294,0.11023378801671788,0.000939034926107702
2020-04-10,0.10653703703703704,0.08118371248031597,0.11023378801671788,-1.3665967805771213e-05
2020-04-11,0.013844210526315766,0.07716016039805722,0.11023378801671788,-0.009290950648778233
2020-04-12,0.04565420560747665,0.0738796666728786,0.11023378801671788,-0.004170522464151978
2020-04-13,-0.036814444444444434,0.071051956353582,0.11023378801671788,-0.021623182669952026
2020-04-14,0.16251612903225807,0.07105281512659163,0.11023378801671788,0.002733443182065236
2020-04-15,0.048974157303370736,0.07261598402047255,0.11023378801671788,-0.0037527423551356642
2020-04-16,0.10491348314606742,0.07200247282141295,0.11023378801671788,-2.8305643916666926e-05
2020-04-17,0.23304473684210522,0.0712016016881971,0.11023378801671788,0.015082529151391908
2020-04-18,0.16239487179487183,0.07327825057958706,0.11023378801671788,0.0027207786609115955
2020-04-19,0.015980821917808214,0.07762976617799532,0.11023378801671788,-0.008883621618442215
2020-04-20,0.1578854838709678,0.0845334987126065,0.11023378801671788,0.0022706841177859384
2020-04-21,0.13092950819672128,0.0921079685994016,0.11023378801671788,0.00042831283376900005
2020-04-22,0.1240759493670886,0.09948346337892906,0.11023378801671788,0.00019160543084969706
2020-04-23,0.16315945945945948,0.10958021999653952,0.11023378801671788,0.002801126697665034
2020-04-24,0.18177058823529424,0.11882420222174361,0.11023378801671788,0.005117513785512507
2020-04-25,0.1536853333333334,0.12464938803733576,0.11023378801671788,0.001888036790401892
2020-04-26,0.14092337662337664,0.13044759159440894,0.11023378801671788,0.0009418508488459597
2020-04-27,0.21181294117647056,0.136387055022761,0.11023378801671788,0.010318324356652494
2020-04-28,0.09876865671641792,0.14088420516892244,0.11023378801671788,-0.00013144923573311774
2020-04-29,0.10009491525423721,0.14436444657200906,0.11023378801671788,-0.0001027967408937724
2020-04-30,0.16265942028985508,0.14623418959081438,0.11023378801671788,0.0027484469192382054
2020-05-01,0.059624050632911416,0.14678129582922614,0.11023378801671788,-0.002561345518057857
2020-05-02,0.16045599999999996,0.14676317570164438,0.11023378801671788,0.0025222705764937226
2020-05-03,-0.02031192660550458,0.1439828346270601,0.11023378801671788,-0.017042183606226745
2020-05-04,0.031152857142857142,0.1358885609068272,0.11023378801671788,-0.006253793627876339
2020-05-05,0.08631688311688308,0.1256016498043663,0.11023378801671788,-0.0005720183399877415
2020-05-06,-0.003220740740740797,0.11470631478352414,0.11023378801671788,-0.012871930095577019
2020-05-07,0.3069238095238095,0.10447863084963539,0.11023378801671788,0.03868696456046016
